,,,,
Password,Lowercase Alpha,Upper and Lower Alpha,Alphanumeric,Full English Keyboard
Length,abcdefghijklmnopqrstuvwxyz , ABCDEFGHIJKLMNOPQRSTUVWXYZ          abcdefghijklmnopqrstuvwxyz,"ABCDEFGHIJKLMNOPQRSTUVWXYZ        
123456789         abcdefghijklmnopqrstuvwxyz  ","ABCDEFGHIJKLMNOPQRSTUVWXYZ  
123456789
`~!@#$%^&*()_-+{}[]|\:;""'<>,.?/ "
,,,,
5,11881376,380204032,916132832,7737809375
6,308915776,19770609664,56800235584,735091890625
7,8031810176,"1,028,071,702,528","3,521,614,606,208","69,833,729,609,375"
8,208827064576,"53,459,728,531,456","Most Common 218,340,105,584,896","6,634,204,312,890,620"
9,"5,429,503,678,976","2,779,905,883,635,710","13,537,086,546,263,600","630,249,409,724,609,000"
10,"141,167,095,653,376","144,555,105,949,057,000","839,299,365,868,340,000","59,873,693,923,837,900,000"
11,"3,670,344,486,987,780","7,516,865,509,350,970,000","52,036,560,683,837,100,000","5,688,000,922,764,600,000,000"
12,"95,428,956,661,682,200","390,877,006,486,250,000,000","3,226,266,762,397,900,000,000","540,360,087,662,637,000,000,000"
13,"2,481,152,873,203,740,000","20,325,604,337,285,000,000,000","200,028,539,268,670,000,000,000","51,334,208,327,950,500,000,000,000"
14,"64,509,974,703,297,200,000","1,056,931,425,538,820,000,000,000","12,401,769,434,657,500,000,000,000","4,876,749,791,155,300,000,000,000,000"
15,"1,677,259,342,285,730,000,000","54,960,434,128,018,700,000,000,000","768,909,704,948,767,000,000,000,000","463,291,230,159,753,000,000,000,000,000"
16,"43,608,742,899,428,900,000,000","2,857,942,574,656,970,000,000,000,000","47,672,401,706,823,500,000,000,000,000","44,012,666,865,176,600,000,000,000,000,000"
17,"1,133,827,315,385,150,000,000,000","148,613,013,882,162,000,000,000,000,000","2,955,688,905,823,060,000,000,000,000,000","4,181,203,352,191,770,000,000,000,000,000,000"
18,"29,479,510,200,013,900,000,000,000","7,727,876,721,872,450,000,000,000,000,000","183,252,712,161,030,000,000,000,000,000,000","397,214,318,458,219,000,000,000,000,000,000,000"
,,,,
,,,,
,,,,
,,,,
https://xato.net/x/password-calculations.htm,,,,